pert_id,pert_iname,target_organ,mCS_homo,mCS_hetero,OrganScore,efficacy_z,specificity,robustness,composite_score,rank
BRD-K25731886,BRD-K25731886,brain,0.2227269234114934,-0.0248086320601856,0.247535555471679,5.065917265316731,0.2446565726187169,0.8997775002347013,2.369697127982718,1
BRD-K72222507,quinapril,brain,0.1612107683806705,-0.021623905205281,0.1828346735859516,3.726205394436669,0.1799556907329895,0.8817297350150132,1.8089877854990688,2
BRD-A18497530,5-iodotubercidin,brain,0.0032567756707023,-0.1812558538921153,0.1845126295628176,3.7609495505517554,0.1816336467098555,0.0176506924032997,1.5641651219546489,3
BRD-K32164935,tolazamide,brain,0.1422235643673362,-0.0043255164407158,0.146549080808052,2.974867267819952,0.1436700979550899,0.970484178311362,1.5241931900079164,4
BRD-K11636097,JNJ-7706621,brain,-0.0368507903954109,-0.2055506297993931,0.1686998394039822,3.4335261512085635,0.1658208565510201,0.1520238220988709,1.4687638640783929,5
BRD-A50311610,meclizine,brain,0.1304640139620167,-0.008992984792272,0.1394569987542887,2.8280169276118663,0.1365780159013266,0.9355142806302011,1.4528344600042051,6
BRD-A56987319,SQ-22536,brain,0.1377799907427948,0.0009927945838647,0.1367871961589301,2.772735359174739,0.133908213305968,0.9928458978407594,1.4471203770139138,7
BRD-K06543683,bisindolylmaleimide-ix,brain,-0.0311851814947443,-0.1950984824819777,0.1639133009872334,3.334414946686383,0.1610343181342713,0.1378145506967347,1.423420639323855,8
BRD-K68202742,trichostatin-a,brain,0.0891694995676042,-0.0556056421262579,0.1447751416938622,2.938135662002028,0.1418961588409001,0.6159171972669732,1.402598271633173,9
BRD-K81209159,herniarin,brain,0.102200254526195,-0.0306004358030073,0.1328006903292023,2.6901898199523897,0.1299217074762402,0.7695762288275091,1.3459253088720806,10
BRD-K51805276,temefos,brain,0.1208901327952144,-0.005153134014511,0.1260432668097254,2.550268999064718,0.1231642839567633,0.95911614923309,1.344791729582843,11
BRD-K44494044,BRD-K44494044,brain,0.0992263795623995,-0.0343670083578823,0.1335933879202819,2.706603605079199,0.1307144050673198,0.7427491811745591,1.3446805179042434,12
BRD-A19037878,trichostatin-a,brain,0.0903989312593993,-0.0407861341952361,0.1311850654546354,2.656736306487625,0.1283060826016733,0.6890946837370776,1.3079147524966754,13
BRD-K91370081,anisomycin,brain,0.1330011375167566,0.0104149331811404,0.1225862043356161,2.478686240067427,0.119707221482654,0.9273795940496984,1.3056005406866764,14
BRD-K83794624,pirarubicin,brain,0.0108465538116783,-0.1371896021309279,0.1480361559426062,3.005658999749842,0.1451571730896441,0.0732696261618452,1.267791639675384,15
BRD-K93060291,TL-HRAS-24,intestine,0.127416669042044,-0.0487895706435291,0.1762062396855731,4.316222008377443,0.1733065490026874,0.7231109931015972,1.995414065982263,1
BRD-K39391626,ethylestrenol,intestine,0.1134491273760326,-0.0540432199344808,0.1674923473105134,4.099201392224722,0.1645926566276277,0.6773391688037887,1.8922601045193137,2
BRD-K26818574,BIX-01294,intestine,0.1517980491440976,0.005306038638897,0.1464920105052005,3.5761852891170145,0.1435923198223148,0.9662259664252096,1.7634196015210637,3
BRD-K99633092,BRD-K99633092,intestine,0.165390299003458,0.0204630168984332,0.1449272821050247,3.5372155260189846,0.142027591422139,0.889896949709388,1.724463572747052,4
BRD-A36471396,biperiden,intestine,0.112751593087615,-0.0341095933613005,0.1468611864489155,3.585379663723144,0.1439614957660298,0.76774262647034,1.7076631021601685,5
BRD-K96402602,farnesylthiotriazole,intestine,0.111277854284407,-0.0345973243457094,0.1458751786301164,3.5608230115226136,0.1429754879472306,0.7628292575413539,1.6960706282556208,6
BRD-K26669427,WR-216174,intestine,0.1149086146703494,-0.0256335374008055,0.1405421520711549,3.4280032956058557,0.1376424613882692,0.8176096131672399,1.6577769406089948,7
BRD-A94377914,merck-ketone,intestine,0.1041729563305475,-0.0374002124649823,0.1415731687955298,3.453680900418602,0.138673478112644,0.7358241476350591,1.6438216478917518,8
BRD-K39983086,loteprednol,intestine,0.1252590413554982,-0.0097672297481056,0.1350262711036038,3.2906295670033363,0.1321265804207181,0.9276642259240216,1.6341890687047564,9
BRD-K33720394,BRD-K33720394,intestine,0.1541382085305125,0.0183424104318901,0.1357957980986223,3.309794736300474,0.1328961074157365,0.8936552371414322,1.6318832978873403,10
BRD-K16336526,capsaicin,intestine,0.101137427425489,-0.0387313915944689,0.1398688190199579,3.411233848915762,0.1369691283370721,0.7230877336481184,1.6225105981618622,11
BRD-A24643465,homoharringtonine,intestine,0.1592140796804257,0.024013554094094,0.1352005255863316,3.294969397423688,0.1323008349034458,0.8689414162792751,1.6183604343242914,12
BRD-K91370081,anisomycin,intestine,0.1530471103565261,0.0213099148772471,0.1317371954792789,3.208714713360332,0.1288375047963931,0.8777800037798681,1.5854711379170112,13
BRD-K88708949,BRD-K88708949,intestine,0.1236421428961654,-0.0041248908052381,0.1277670337014035,3.109837321010786,0.1248673430185177,0.9677155305049212,1.5717097904613462,14
BRD-K62289640,lylamine,intestine,0.0763501313502265,-0.0634637733331158,0.1398139046833423,3.4098662002629005,0.1369142140004566,0.5460839640273244,1.5688459335134946,15
BRD-A38913120,BH3I-1,intestine,0.1116333493889347,-0.0156656009214089,0.1272989503103436,3.098179643641553,0.1243992596274579,0.876938490294606,1.5396731824332406,16
BRD-K55055802,BRD-K55055802,kidney,0.0983145375048462,-0.1842705903151447,0.2825851278199909,4.162793738557919,0.2853309643429012,0.3479112231719507,1.855090151677623,1
BRD-A09749088,ST-023431,kidney,0.2147509698756623,-0.039522479900831,0.2542734497764933,3.7497447154385615,0.2570192862994037,0.8445670201901612,1.8303737781222944,2
BRD-K22503835,scriptaid,kidney,0.0952507638877291,-0.154284554854403,0.2495353187421321,3.680618456226814,0.2522811552650425,0.3817125540773217,1.6624454952934349,3
BRD-K88679075,methandriol,kidney,0.0909852954844247,-0.1537041517637878,0.2446894472482125,3.6099203335775583,0.2474352837711229,0.371839883045489,1.6297506834760072,4
BRD-K24538644,KU-C104502N,kidney,0.2407565893063166,0.0254967752924204,0.2152598140138961,3.180561069194879,0.2180056505368064,0.9042386734857986,1.6088977248847331,5
BRD-K04710043,hexamethylenebisacetamide,kidney,0.1390371456691392,-0.0897493346746716,0.2287864803438108,3.377906359186123,0.2315323168667211,0.6077157417668577,1.6029369612645228,6
BRD-K63399564,BRD-K63399564,kidney,0.1777122682487089,-0.0236768410595569,0.2013891093082658,2.978196482403687,0.2041349458311762,0.8824323657365299,1.5172487864317867,7
BRD-A16478930,amcinonide,kidney,0.1573531104869389,-0.049264498040115,0.2066176085270539,3.05447689543264,0.2093634450499643,0.7615667973921924,1.5130698309057034,8
BRD-K31471398,dihydrexidine,kidney,0.1433561014328609,-0.0654025303926466,0.2087586318255075,3.08571303694793,0.2115044683484178,0.6867074195236892,1.503748781140804,9
BRD-K25719068,BRD-K25719068,kidney,0.193539297930338,0.00159091187324,0.1919483860570979,2.840462452282124,0.1946942225800083,0.9918469212223664,1.492147324053562,10
BRD-K38477985,malonoben,kidney,0.1596630956873932,-0.0413757097865028,0.2010388054738961,2.9730857766249947,0.2037846419968065,0.79419043120362,1.4886268326101255,11
BRD-K35133769,BRD-K35133769,kidney,0.1294045320706834,-0.0781707627854971,0.2075752948561805,3.0684489179349006,0.2103211313790909,0.6234100840275857,1.477498931795963,12
BRD-K10573841,tunicamycin,kidney,0.1901178254232867,0.0010268734801498,0.1890909519431368,2.798774341546115,0.1918367884660472,0.9946277684628262,1.475449103697108,13
BRD-K55044200,amoxicillin,kidney,0.1011448227392697,-0.1131401637016583,0.214284986440928,3.1663389670607125,0.2170308229638384,0.4720107757990371,1.4732480664531478,14
BRD-K24686773,BRD-K24686773,kidney,0.1357798060352108,-0.0675852703910688,0.2033650764262796,3.0070245612818662,0.2061109129491899,0.6676653059340049,1.464942690177705,15
BRD-K93285993,BRD-K93285993,kidney,0.1550881663915176,-0.0411815329756055,0.1962696993671231,2.9035076111934486,0.1990155358900334,0.7901788549765227,1.4581613617373463,16
BRD-A72180425,K784-3188,liver,0.2320029418381519,-0.1004107819513698,0.3324137237895218,4.640366988622339,0.3204482087669309,0.6979343064525773,2.161661550014788,1
BRD-A83706824,BRD-A83706824,liver,0.2498063729222433,-0.0188809522164255,0.2686873251386688,3.71755366493082,0.256721810116078,0.9297289058958996,1.8429566807759208,2
BRD-K84770158,BRD-K84770158,liver,0.1948161531245764,-0.0562964555206272,0.2511126086452036,3.463056582346133,0.2391470936226127,0.7758119120264902,1.6897103346331843,3
BRD-K41567364,SB-334867,liver,0.2169682256568013,-0.0252057648715989,0.2421739905284002,3.33361766741906,0.2302084755058094,0.8959187776268033,1.6712852429074077,4
BRD-K42006476,BRD-K42006476,liver,0.2282212316993327,-0.009854871618892,0.2380761033182247,3.2742767192940327,0.2261105882956338,0.9586062121422572,1.6651257278489806,5
BRD-K36153907,KU-C103885,liver,0.1761455388492905,-0.0692214772185736,0.2453670160678641,3.3798554365867224,0.2334015010452733,0.7178859717998248,1.6373284164882185,6
BRD-A27489425,rolitetracycline,liver,0.1680718063608286,-0.076781489759734,0.2448532961205626,3.3724163278021,0.2328877810979718,0.6864183940143094,1.6247583836545243,7
BRD-K11927976,ER-27319,liver,-0.1358101020303174,-0.4019452487101467,0.2661351466798293,3.680595915299317,0.2541696316572385,0.2525499780114845,1.624254249020344,8
BRD-K58846134,BRD-K58846134,liver,0.1965112001009884,-0.038174890306099,0.2346860904070874,3.2251864027515347,0.2227205753844965,0.8373363742026027,1.6080916459767436,9
BRD-K93658967,aloisine,liver,0.1978381665946114,-0.0360704247366986,0.23390859133131,3.213927544233322,0.2219430763087191,0.8457926465377774,1.6058917345472778,10
BRD-A11706664,triciribine,liver,0.2822749937417724,0.0487557320823476,0.2335192616594247,3.208289714132603,0.2215537466368339,0.8527153875331694,1.6055966259040424,11
BRD-K46062088,ST-4062971,liver,0.267122857262414,0.0388833192413519,0.228239538021062,3.1318347532052773,0.2162740229984712,0.8729328937967802,1.5794959763206864,12
BRD-K21482967,BRD-K21482967,liver,0.1899068946589785,-0.0388817328531003,0.2287886275120788,3.139786043548631,0.2168231124894879,0.8300539088899734,1.569977523833291,13
BRD-K22503835,scriptaid,liver,0.1154036008922362,-0.1179260560143199,0.2333296569065561,3.205544073457989,0.2213641418839652,0.4945946536448797,1.4970052680418493,14
BRD-K68202742,trichostatin-a,liver,0.1618267440999674,-0.0570040244947553,0.2188307685947227,2.995587641019673,0.2068652535721319,0.7395063549117347,1.4821465389530293,15
BRD-K84955386,hyperoside,lung,0.1160359212265216,-0.1726776780141489,0.2887135992406705,4.774697190489146,0.2861509744182499,0.4019066697637745,2.1162961694502656,1
BRD-K52560704,methylstat,lung,0.1944310788115691,-0.0684649108879881,0.2628959896995572,4.3439061788851765,0.2603333648771366,0.7395741523475172,2.037534726721467,2
BRD-K73991644,isoquercetin,lung,0.1279422103541362,-0.1227431646713692,0.2506853750255055,4.140160629191105,0.2481227502030848,0.5103696627299539,1.8836119755563536,3
BRD-K85592362,BRD-K85592362,lung,0.19957140245079,-0.0256808073819927,0.2252522098327827,3.7157844318434634,0.2226895850103621,0.8859908744528804,1.8189179105763575,4
BRD-K94649603,taxifolin,lung,0.1212702339444252,-0.1039980329190108,0.225268266863436,3.716052358448653,0.2227056420410154,0.5383369596575666,1.714733723889036,5
BRD-A74980173,gatifloxacin,lung,0.100807024024195,-0.1174735963521907,0.2182806203763858,3.599456927950192,0.2157179955539652,0.4618230597118016,1.643045087759807,6
BRD-K19059335,BRD-K19059335,lung,0.1587410534557792,-0.0325102641309392,0.1912513175867185,3.148447678888296,0.1886886927642979,0.8300128614842116,1.5649895378298708,7
BRD-K63712590,BRD-K63712590,lung,0.0998215401070856,-0.1003757384644258,0.2001972785715114,3.2977194221250787,0.1976346537490908,0.4986158691541218,1.5279629257209957,8
BRD-K46255814,BRD-K46255814,lung,0.0994214774923062,-0.0967044155641312,0.1961258930564375,3.229784539080409,0.1935632682340168,0.5069268309870941,1.502060845398497,9
BRD-K29143967,KU-C104140,lung,0.1236298553331675,-0.0661012535784938,0.1897311089116613,3.12308157239675,0.1871684840892407,0.6516056116320328,1.5008648576750825,10
BRD-K47278471,diphenhydramine,lung,0.11050614461679,-0.0799539083489971,0.1904600529657871,3.1352446871103514,0.1878974281433664,0.5802064151406064,1.4845290278293326,11
BRD-K39621635,artemether,lung,0.143973457345892,-0.0340714684701283,0.1780449258160203,2.92808665508872,0.1754823009935996,0.8086355542297282,1.4664700186024864,12
BRD-K93433262,alfacalcidol,lung,0.1532977203957843,-0.0146326192042875,0.1679303396000718,2.759315304627893,0.1653677147776512,0.9128649454861952,1.4271959199303113,13
BRD-A67552655,etomoxir,lung,0.0494689636857287,-0.1402593888565234,0.1897283525422521,3.123035579789873,0.1871657277198315,0.260735746644079,1.3835846742251223,14
BRD-K42644990,BRD-K42644990,lung,0.1380268151234852,-0.0252455076508452,0.1632723227743305,2.6815919283705387,0.1607096979519099,0.84537791031321,1.3744630538277514,15
BRD-A39268308,epibatidine,lung,0.161724556353989,0.0056094145907974,0.1561151417631915,2.562167655448936,0.1535525169407708,0.9664777292036169,1.3608761360228905,16
BRD-K66818636,lomifylline,lung,0.087085104546156,-0.0868675981910195,0.1739527027371756,2.8598040777634526,0.1713900779147549,0.500625187914844,1.3455262108542607,17
BRD-K95337198,BRD-K95337198,lung,0.0947637358960186,-0.074531588695314,0.1692953245913326,2.7820913584787768,0.166732699768912,0.5597540042455184,1.33078255459584,18
BRD-K73418978,BRD-K73418978,lung,0.1079696443048613,-0.0551895447844276,0.1631591890892889,2.6797041868060867,0.1605965642668683,0.6617441827294228,1.318583898821322,19
BRD-K20514654,YL-59,lung,0.0812884673893816,-0.0893318486155817,0.1706203160049633,2.8042000820046926,0.1680576911825426,0.4764290047345477,1.315026041577004,20
BRD-K11696279,BU-239,skin,0.0890239712023398,-0.0287329916798922,0.117756962882232,4.086414665758873,0.120239748427191,0.7559975134189927,1.8974370448574045,1
BRD-K51126483,BRD-K51126483,skin,0.0726284338223876,-0.0085371700481027,0.0811656038704903,2.8428369964644875,0.0836483894154492,0.894817881830749,1.4306746799596546,2
BRD-K11634954,GBR-13069,skin,0.0733525978351879,-0.0013458694075815,0.0746984672427694,2.623047764478629,0.0771812527877283,0.9819826355819896,1.3669682723023668,3
BRD-K29173907,isoflupredone-acetate,skin,0.0547023434510686,-0.0260359176587335,0.0807382611098021,2.8283135152744068,0.083221046654761,0.677526895320696,1.3595497887024,4
BRD-K48195008,ethinylestradiol,skin,0.0489008549197141,-0.0319336554766207,0.0808345103963348,2.8315846007615355,0.0833172959412937,0.6049502201405839,1.3391140951291776,5
BRD-K12623437,BRD-K12623437,skin,0.0750974860691719,0.0023778549605362,0.0727196311086356,2.5557959188499395,0.0752024166535945,0.9693082337442662,1.335671562659334,6
BRD-K50177987,BRD-K50177987,skin,0.0536125511716623,-0.0253367363437726,0.0789492875154349,2.7675142535635096,0.0814320730603939,0.6790758066470607,1.33515806533764,7
BRD-K85518562,cilastatin,skin,0.0588364307042832,-0.0181169523767646,0.0769533830810478,2.6996823322661085,0.0794361686260068,0.764572371897659,1.333075495063543,8
BRD-A62890442,3-methyl-GABA,skin,0.0761344942397839,0.0037894236973193,0.0723450705424645,2.5430662698708124,0.0748278560874234,0.9525871117134146,1.3254509982885765,9
BRD-A95445494,maackiain,skin,0.0592827255374357,-0.0159124668870269,0.0751951924244626,2.6399292458013552,0.0776779779694216,0.7883845169775944,1.3157904468046469,10
BRD-K15588452,R-96544,skin,0.0675260982874001,-0.0022198656797622,0.0697459639671623,2.4547341886238496,0.0722287495121213,0.9681721256641512,1.2940139380024216,11
BRD-A85587465,bemesetron,skin,0.056587664197616,-0.0170033014243593,0.0735909656219753,2.5854087064735696,0.0760737511669342,0.7689485202762888,1.2876701640223946,12
BRD-K18726304,BRD-K18726304,skin,0.0443753134165496,-0.03302034105689,0.0773956544734396,2.7147131713002546,0.0798784400183986,0.5733566524002002,1.2818557962456816,13
BRD-K20123385,BRD-K20123385,skin,0.0663297935896659,-0.0024152223942237,0.0687450159838896,2.420716415200245,0.0712278015288485,0.9648669440810598,1.2791149897630705,14
BRD-A39747742,estradiol-valerate,skin,0.0535306093773647,-0.0189234624765389,0.0724540718539036,2.546770740010497,0.0749368573988625,0.7388212688918533,1.2628357338914136,15
BRD-K44575778,BRD-K44575778,skin,0.0490135968857194,-0.0244565137918225,0.0734701106775419,2.5813013840296843,0.0759528962225008,0.6671229479172326,1.2554433068537938,16
BRD-K34098590,tienilic-acid,skin,0.054472394899948,-0.0168290566871466,0.0713014515870946,2.507598299748855,0.0737842371320535,0.7639731535761612,1.2543665371120063,17
BRD-K29555132,arachidonamide,skin,0.0580983225421855,-0.0113010972560285,0.069399419798214,2.4429566924726416,0.071882205343173,0.8371586192996492,1.2498949243819033,18
BRD-K42635745,suloctidil,skin,0.0644395769115377,-0.0019423470379075,0.0663819239494452,2.340405419274145,0.0688647094944042,0.9707398186219984,1.2480435261445788,19
BRD-K12502280,TG-101348,blood,0.1444749951341751,0.0080588750219926,0.1364161201121825,2.5271595091033,0.1343466813430883,0.9471666515216688,1.3353178035007471,1
BRD-K64890080,BI-2536,blood,0.0873140774291464,-0.0453175657191723,0.1326316431483188,2.4559707246048843,0.1305622043792246,0.6583201059016752,1.2190529829262238,2
BRD-K19894101,MST-312,blood,0.1112098131347327,-0.0018942889125568,0.1131041020472895,2.0886433690683086,0.1110346632781953,0.9832518098230424,1.163743289557695,3
BRD-K69840642,ISOX,blood,0.0802478040932316,-0.0379362528104,0.1181840569036316,2.18420104189415,0.1161146181345374,0.6790070177635354,1.112216907527082,4
BRD-K16406336,methylene-blue,blood,0.0510324248835188,-0.0611915437328824,0.1122239686164013,2.072087414377706,0.1101545298473071,0.4547373031556365,0.9983025156519656,5
BRD-K24132293,piperlongumine,blood,-0.0069002558399947,-0.1255881755828163,0.1186879197428215,2.1936790710692127,0.1166184809737273,0.0520819498025889,0.92808175766058,6
BRD-K09499853,KU-0060648,blood,0.0393559885298608,-0.0608525780040818,0.1002085665339427,1.8460688977696147,0.0981391277648485,0.3927407591171967,0.8856915251724595,7
BRD-K53903639,CHEMBL-1222381,blood,0.0142803533380066,-0.088023194635334,0.1023035479733406,1.8854770335943392,0.1002341092042464,0.1395880554188514,0.8261374628246652,8
BRD-A01145011,zebularine,blood,0.0517313383675365,-0.0311459796845285,0.082877318052065,1.52005541557754,0.0808078792829708,0.6241917513862931,0.8195220554317952,9
BRD-K61053657,BRD-K61053657,blood,0.0493992743554281,-0.0270323902857955,0.0764316646412237,1.3988079523224324,0.0743622258721295,0.6463194871219969,0.7757276948272109,10
BRD-K76703230,YM-155,blood,0.0288181707526068,-0.0596812929816168,0.0884994637342237,1.6258120950890156,0.0864300249651295,0.3256310208453776,0.7739431517787584,11
BRD-A17883755,lenalidomide,blood,0.0487969521351739,-0.0232920953849474,0.0720890475201214,1.3171201425285868,0.0700196087510272,0.6768982771462472,0.7509234227806171,12
BRD-K68143200,NSC-95397,blood,0.0533295587948799,-0.0096348854466051,0.0629644442414851,1.145479669448995,0.0608950054723909,0.8469789474461059,0.7305540536551471,13
BRD-A79465854,auranofin,blood,-0.0992037036320282,-0.1810194122857159,0.0818157086536877,1.500085764974774,0.0797462698845935,0.3540168457256983,0.7301632406729973,14
BRD-K83289131,CAY-10618,blood,0.0523625200969883,-0.0083111222734723,0.0606736423704607,1.1023880078317896,0.0586042036013665,0.8630192282008006,0.717442232673366,15
BRD-A58955223,sulforaphane,blood,0.054891817067751,-0.0009311178949615,0.0558229349627125,1.0111426474788725,0.0537534961936183,0.9833201533757489,0.7155791538623593,16
BRD-K28100108,BRD-K28100108,blood,0.0658900797355517,0.007194520814333,0.0586955589212187,1.0651788088506418,0.0566261201521245,0.9015590035334704,0.7135270606459352,17
BRD-A09533288,verapamil,blood,0.0613798361520014,0.0051655577352516,0.0562142784167497,1.0185041045785812,0.0541448396476555,0.92237542637074,0.7003577216369512,18
BRD-K90826279,BRD-K90826279,blood,0.0812246436293311,0.0222980320170895,0.0589266116122416,1.0695250792563191,0.0568571728431474,0.7846072664146678,0.6802493634798723,19
BRD-K06792661,narciclasine,stomach,0.0812106094568545,-0.0241490479315418,0.1053596573883963,3.2560186185973947,0.1021782087916554,0.7707941672627263,1.5642991602552725,1
BRD-K61829047,7b-cis,stomach,0.0928124335293559,0.0078053664310982,0.0850070670982576,2.6074614193172687,0.0818256185015168,0.9224255894443276,1.3442599301106608,2
BRD-K73261812,BRD-K73261812,stomach,0.0786086199297888,-0.0052502263370705,0.0838588462668593,2.5708721264581875,0.0806773976701185,0.9373920979773288,1.3337696992775092,3
BRD-K02822062,CT-200783,stomach,0.0556657385871408,-0.0258005095410957,0.0814662481282365,2.494629411124802,0.0782847995314956,0.6832981731426638,1.2263266562521686,4
BRD-K52075040,cerulenin,stomach,0.0680752541858285,-0.0055756329596837,0.0736508871455122,2.245584520127574,0.0704694385487714,0.924296457677453,1.196663576918897,5
BRD-K01638814,rilmenidine,stomach,0.0683353469682036,-0.0019192956445873,0.0702546426127909,2.137359532014911,0.0670731940160501,0.9726808696126508,1.1668700318945744,6
BRD-K98548675,parthenolide,stomach,0.0630128673869355,-0.0050764440953842,0.0680893114823197,2.068358924550566,0.0649078628855788,0.92544433072661,1.1244492279038831,7
BRD-K59597909,phenothiazine,stomach,0.0541757908392086,-0.0125509092172704,0.066726700056479,2.024937844606823,0.0635452514597381,0.8119057395639584,1.0726104351498384,8
BRD-A19037878,trichostatin-a,stomach,0.0555971935346704,-0.0097555407817566,0.065352734316427,1.981154947217751,0.0621712857196861,0.8507248247702319,1.0663308120340758,9
BRD-K78867378,MW-A1-12,stomach,0.0481926580531427,-0.0164374565415751,0.0646301145947178,1.9581278918810452,0.0614486659979769,0.7456687688205736,1.0253863871979834,10
BRD-A12409803,orteronel,stomach,0.0631725983102416,0.0063315128679776,0.0568410854422639,1.7099220930017571,0.0536596368455231,0.908904482748753,0.9727380730789856,11
BRD-K88544581,CI-976,stomach,0.04598432447343,-0.0140134343252426,0.0599977587986726,1.8105128876814176,0.0568163102019317,0.7664340354960714,0.9711802587819682,12
BRD-K02113016,olaparib,stomach,0.0498586323645294,-0.0078691296913668,0.0577277620558962,1.738176997807813,0.0545463134591553,0.8636855215326738,0.970740349620674,13
BRD-K64634304,tretinoin,stomach,0.0456106299930767,-0.0119327767448308,0.0575434067379075,1.7323023171405028,0.0543619581411666,0.7926299901143506,0.9470185113328562,14
BRD-A81936046,BRD-A81936046,stomach,0.0543756844220972,0.0012493779659922,0.0531263064561049,1.5915466616260598,0.049944857859364,0.977539295955671,0.9448639107949344,15
BRD-K19295594,gossypol,stomach,0.0604932100537032,0.0060750083930348,0.0544182016606683,1.6327142930523666,0.0512367530639274,0.9087401071313096,0.9410787752795178,16
BRD-K56851771,enzalutamide,stomach,0.056308759638381,0.003150296141122,0.0531584634972589,1.5925713803596806,0.0499770149005181,0.9470173854171808,0.936126872239182,17
BRD-A97437073,rosiglitazone,stomach,0.0456274337729421,-0.0082919791280164,0.0539194129009585,1.6168198522751398,0.0507379643042176,0.8462153282738994,0.915813928683491,18
BRD-A19500257,geldanamycin,stomach,0.0356093570542147,-0.0239252490230453,0.05953460607726,1.795754027626938,0.0563531574805191,0.5981287076660989,0.9146461705947606,19
